observation_date,CAPCE
1997-01-01,681820.9
1998-01-01,722322.0
1999-01-01,776324.7
2000-01-01,844374.3
2001-01-01,886833.1
2002-01-01,924960.4
2003-01-01,975445.5
2004-01-01,1041764.2
2005-01-01,1114921.0
2006-01-01,1186034.5
2007-01-01,1256410.5
2008-01-01,1295036.3
2009-01-01,1253678.5
2010-01-01,1297976.1
2011-01-01,1354341.6
2012-01-01,1409173.4
2013-01-01,1453927.1
2014-01-01,1522216.3
2015-01-01,1595724.1
2016-01-01,1665899.0
2017-01-01,1752123.2
2018-01-01,1856117.3
2019-01-01,1941141.0
2020-01-01,1888671.1
2021-01-01,2156665.6
2022-01-01,2369104.1
2023-01-01,2523160.2
2024-01-01,2664167.6
